,data_collected_date,channel_id,video_id,video_comment_id,video_comment_textDisplay,video_comment_textOriginal,video_comment_authorDisplayName,video_comment_canRate,video_comment_likeCount,video_comment_publishedAt_datetime,video_comment_canReply,video_comment_totalReplyCount,video_comment_isPublic,video_comment_textDisplay_sentiment
0,2024-10-26 14:15:30.301150,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzgXSPNBKoI87_MJmJ4AaABAg,Talagang Buhay nabuhay  ka na sumasayaw..di nakkaantok..nappakilos talaga Ang buong katawan...deretso exercise..pawis na pawis talaga. Perfect na perfect music..enjoy na enjoy talaga ako...habang nagllaba..pakimbot.kimbot sa puwit..at sabay tawa.MAPPASAYA KA TALAGA  🤣🤣🤣👏👏👏🎶🎶🎶🙋,Talagang Buhay nabuhay  ka na sumasayaw..di nakkaantok..nappakilos talaga Ang buong katawan...deretso exercise..pawis na pawis talaga. Perfect na perfect music..enjoy na enjoy talaga ako...habang nagllaba..pakimbot.kimbot sa puwit..at sabay tawa.MAPPASAYA KA TALAGA  🤣🤣🤣👏👏👏🎶🎶🎶🙋,@rosalinanazaret1462,1,22,2024-10-10 08:43:06,1,3,1,POSITIVE
1,2024-10-26 14:15:34.586747,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxmdNlyvv6FIEIr7qh4AaABAg,Tanggal stress sa ganda ng mix music❤,Tanggal stress sa ganda ng mix music❤,@sarazamariacalapate347,1,1,2024-10-24 10:39:19,1,1,1,NEGATIVE
2,2024-10-26 14:15:36.312565,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgwhDSb22NFTMsL_VKJ4AaABAg,nakaka good vibes Ang manga music mapapasayaw katalaga while driving ❤❤❤❤,nakaka good vibes Ang manga music mapapasayaw katalaga while driving ❤❤❤❤,@RosalieLascano-x7c,1,1,2024-10-24 01:13:37,1,1,1,POSITIVE
3,2024-10-26 14:15:38.051707,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxY7kjO2YSwbdf8DTJ4AaABAg,"Bkt sa kaliwa k domaan,","Bkt sa kaliwa k domaan,",@FedericoAcibron,1,1,2024-10-22 23:22:29,1,1,1,NEGATIVE
4,2024-10-26 14:15:39.742549,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugy7KcuXX8nQA18eJV94AaABAg,Oh nice idol,Oh nice idol,@ryanimperial9924,1,0,2024-10-21 02:10:14,1,0,1,POSITIVE
5,2024-10-26 14:15:40.531203,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgybB8xQMQYOOeCrT1l4AaABAg,Ganda Ng music sarap pakinggan,Ganda Ng music sarap pakinggan,@ArlynDamolo,1,1,2024-10-20 12:48:32,1,1,1,POSITIVE
6,2024-10-26 14:15:42.102410,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgwE8sLkASHuuIFlzHR4AaABAg,Galing naman,Galing naman,@mommylydsisidro6859,1,0,2024-10-20 03:54:47,1,0,1,NEGATIVE
7,2024-10-26 14:15:42.963210,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugx52N1I0gLzELcbhnZ4AaABAg,"I miss the place, we took  this kind of road trip back in HK  as  well. ❤","I miss the place, we took  this kind of road trip back in HK  as  well. ❤",@yanidacara6527,1,1,2024-10-20 02:41:19,1,1,1,NEGATIVE
8,2024-10-26 14:15:44.652082,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxiSgc8jXWbIGj_PMR4AaABAg,Ang gànda ng tugtug naka indak talaga.,Ang gànda ng tugtug naka indak talaga.,@chuzatulang3740,1,0,2024-10-18 18:47:36,1,0,1,NEGATIVE
9,2024-10-26 14:15:45.400616,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgwvIQjjuawy2bKP1st4AaABAg,Ang ganda ng view pati Tugtugan nakakaindak pakinggan,Ang ganda ng view pati Tugtugan nakakaindak pakinggan,@ThemusicLover24,1,1,2024-10-17 16:55:55,1,1,1,NEGATIVE
