,data_collected_date,channel_id,channel_title,channel_description,channel_keywords,channel_trackingAnalyticAccountId,channel_unsubscribedTrailer,channel_customUrl,channel_publishedAt,channel_defaultLanguage,channel_country,channel_viewCount,channel_subscriberCount,channel_hiddenSubscriberCount,channel_videoCount,channel_status_madeForKids,channel_localized_title,channel_localized_description,channel_localizations_title,channel_localizations_description,channel_uploads_playlist_id
0,2024-10-26,UCqs3pijNrYHZCdl_HGfgTQw,Go Went Go,"ชื่อ​บาส​ครับ​ ชอบเดินทาง​ ชอบถ่ายรูป​ ชอบทำวีดีโอ​ ชอบลองอะไรใหม่​ๆ​ อยากไปเที่ยวรอบโลกก่อนแก่​ Channel นี้เลยเป็นบันทึกการเดินทางที่เราเอามาแชร์กับทุกคน​

Go​ Went​ Go คือ​ เดินทาง เว้น​ และกลับไปเดินทางใหม่","""go went go"" ""บาส go went go"" gowentgo travel",,,@gowentgo,2017-10-07T11:22:35Z,th,TH,279435839,1490000,0,614,0.0,"""Go Went Go""","""\u0e0a\u0e37\u0e48\u0e2d\u200b\u0e1a\u0e32\u0e2a\u200b\u0e04\u0e23\u0e31\u0e1a\u200b \u0e0a\u0e2d\u0e1a\u0e40\u0e14\u0e34\u0e19\u0e17\u0e32\u0e07\u200b \u0e0a\u0e2d\u0e1a\u0e16\u0e48\u0e32\u0e22\u0e23\u0e39\u0e1b\u200b \u0e0a\u0e2d\u0e1a\u0e17\u0e33\u0e27\u0e35\u0e14\u0e35\u0e42\u0e2d\u200b \u0e0a\u0e2d\u0e1a\u0e25\u0e2d\u0e07\u0e2d\u0e30\u0e44\u0e23\u0e43\u0e2b\u0e21\u0e48\u200b\u0e46\u200b \u0e2d\u0e22\u0e32\u0e01\u0e44\u0e1b\u0e40\u0e17\u0e35\u0e48\u0e22\u0e27\u0e23\u0e2d\u0e1a\u0e42\u0e25\u0e01\u0e01\u0e48\u0e2d\u0e19\u0e41\u0e01\u0e48\u200b Channel \u0e19\u0e35\u0e49\u0e40\u0e25\u0e22\u0e40\u0e1b\u0e47\u0e19\u0e1a\u0e31\u0e19\u0e17\u0e36\u0e01\u0e01\u0e32\u0e23\u0e40\u0e14\u0e34\u0e19\u0e17\u0e32\u0e07\u0e17\u0e35\u0e48\u0e40\u0e23\u0e32\u0e40\u0e2d\u0e32\u0e21\u0e32\u0e41\u0e0a\u0e23\u0e4c\u0e01\u0e31\u0e1a\u0e17\u0e38\u0e01\u0e04\u0e19\u200b\n\nGo\u200b Went\u200b Go \u0e04\u0e37\u0e2d\u200b \u0e40\u0e14\u0e34\u0e19\u0e17\u0e32\u0e07 \u0e40\u0e27\u0e49\u0e19\u200b \u0e41\u0e25\u0e30\u0e01\u0e25\u0e31\u0e1a\u0e44\u0e1b\u0e40\u0e14\u0e34\u0e19\u0e17\u0e32\u0e07\u0e43\u0e2b\u0e21\u0e48""",,,UUqs3pijNrYHZCdl_HGfgTQw
1,2024-10-26,UCPNfoYdMopKZKlaTB92g-QQ,小叔TV,"小叔TV，这是北京小叔的另外一个频道，""北同""的一个子品牌和兄弟频道，这里没有LGBT内容，我的目标是寻找适合自己的养老城市，我计划走遍中国的大小城市，记录当地风土人情和国家变迁，见证这个大时代的发展，同时也去看看各个地方的房地产，合适时机我会买一套属于自己的房定居下来。油管是小叔TV的首发平台。",社会底层 社会百态 纪实 纪录片 旅行,,,@xiaoshu,2019-04-16T04:32:56Z,,JP,69821841,273000,0,360,0.0,"""\u5c0f\u53d4TV""","""\u5c0f\u53d4TV\uff0c\u8fd9\u662f\u5317\u4eac\u5c0f\u53d4\u7684\u53e6\u5916\u4e00\u4e2a\u9891\u9053\uff0c\""\u5317\u540c\""\u7684\u4e00\u4e2a\u5b50\u54c1\u724c\u548c\u5144\u5f1f\u9891\u9053\uff0c\u8fd9\u91cc\u6ca1\u6709LGBT\u5185\u5bb9\uff0c\u6211\u7684\u76ee\u6807\u662f\u5bfb\u627e\u9002\u5408\u81ea\u5df1\u7684\u517b\u8001\u57ce\u5e02\uff0c\u6211\u8ba1\u5212\u8d70\u904d\u4e2d\u56fd\u7684\u5927\u5c0f\u57ce\u5e02\uff0c\u8bb0\u5f55\u5f53\u5730\u98ce\u571f\u4eba\u60c5\u548c\u56fd\u5bb6\u53d8\u8fc1\uff0c\u89c1\u8bc1\u8fd9\u4e2a\u5927\u65f6\u4ee3\u7684\u53d1\u5c55\uff0c\u540c\u65f6\u4e5f\u53bb\u770b\u770b\u5404\u4e2a\u5730\u65b9\u7684\u623f\u5730\u4ea7\uff0c\u5408\u9002\u65f6\u673a\u6211\u4f1a\u4e70\u4e00\u5957\u5c5e\u4e8e\u81ea\u5df1\u7684\u623f\u5b9a\u5c45\u4e0b\u6765\u3002\u6cb9\u7ba1\u662f\u5c0f\u53d4TV\u7684\u9996\u53d1\u5e73\u53f0\u3002""",,,UUPNfoYdMopKZKlaTB92g-QQ
2,2024-10-26,UC57J3B28hGWBb4FIwgBIavw,BANJO_RON TV,"The Simple Man
https://www.facebook.com/recibe.ron 

WELCOME TO MY ROADTRIP CHANNEL!
HELLO EVERYONE I AM RON REGALADO RECIBE FROM PROVINCE OF AKLAN....

SOME OF MY CONTENTS IN MY CHANNEL ARE  SHOWING SOME BEAUTIFUL PLACES  HERE IN MACAO,AKLAN PHILIPPINES AND DIFFERENT  PLACES...
HOPE YOU ENJOY WATCHING, DON'T FORGET TO LIKE, COMMENT,SUBSCRIBE AND HIT THE NOTIFICATION BELL FOR MORE UPDATES, THANK YOU EVERYONE!!!

My FB account 
https://www.facebook.com/recibe.ron?mibextid=ZbWKwL",,,,@banjo_rontv,2015-10-18T12:21:04Z,,PH,22964079,101000,0,1631,,"""BANJO_RON TV""","""The Simple Man\nhttps://www.facebook.com/recibe.ron \n\nWELCOME TO MY ROADTRIP CHANNEL!\nHELLO EVERYONE I AM RON REGALADO RECIBE FROM PROVINCE OF AKLAN....\n\nSOME OF MY CONTENTS IN MY CHANNEL ARE  SHOWING SOME BEAUTIFUL PLACES  HERE IN MACAO,AKLAN PHILIPPINES AND DIFFERENT  PLACES...\nHOPE YOU ENJOY WATCHING, DON'T FORGET TO LIKE, COMMENT,SUBSCRIBE AND HIT THE NOTIFICATION BELL FOR MORE UPDATES, THANK YOU EVERYONE!!!\n\nMy FB account \nhttps://www.facebook.com/recibe.ron?mibextid=ZbWKwL""",,,UU57J3B28hGWBb4FIwgBIavw
3,2024-10-26,UCw2HijSXlJOfDKTdNLuHcoQ,Yummy Oliver,"Yummy food & Happy life~
 Sharing & Giving - the best~

所有影片資訊， 均屬於Yummy Oliver 版權持有人， 而且受 版權保護， 未經許可 嚴禁止轉載發放 。
","皮脆爆汁 ""新強記燒臘飯店 佐敦"" ""street food"" 香港美食 Super Juicy 超級無敵脆皮爆汁燒鵝 高質燒鵝飯 香港燒臘 #紅腸切割技巧 #燒豬 叉燒切割技巧 上海街第一人 爆汁 新鮮出爐脆皮爆汁燒鵝 齒留香 工欲善其事 bbq 脆皮燒乳豬 燒腩仔 燒肉 叉燒 油雞篇 香港 #Jordan #MeatStall #乳鴿 Roastedduck Pigeon CrispyPorkbelly delicious yummy RoastSucklingPig BBQPork dimsum 佐敦 recipe cooking 阿爺燒味 ""yummy oliver"" ""#豬肉 #鷄肉 #麵條 #進食"" 安泰燒臘家",,,@yummyoliver,2020-05-25T15:43:05.705396Z,,HK,116472918,188000,0,5419,,"""Yummy Oliver""","""Yummy food & Happy life~\n Sharing & Giving - the best~\n\n\u6240\u6709\u5f71\u7247\u8cc7\u8a0a\uff0c \u5747\u5c6c\u65bcYummy Oliver \u7248\u6b0a\u6301\u6709\u4eba\uff0c \u800c\u4e14\u53d7 \u7248\u6b0a\u4fdd\u8b77\uff0c \u672a\u7d93\u8a31\u53ef \u56b4\u7981\u6b62\u8f49\u8f09\u767c\u653e \u3002\n""",,,UUw2HijSXlJOfDKTdNLuHcoQ
4,2024-10-26,UCBwfrMS785JyWDUBRhOQkjw,Karenly :,I’m the girl in TECH with you.,Tech Gadget Karen hongkong cantonese unbox review karenly 科技 格價 評測 耳機 家電 iphone 手機 按摩椅 真無線耳機 風筒 電競椅 Mac Studio 人體工學椅 發佈會 寬頻 Router 路由器 手提電腦 文書機 Sony Apple Samsung 尿袋 動漫節 掃地機械人 拖地機械人 掃地機器人 拖地機器人 摺機 藍牙 音色 充電 如果風係你 minipc 電視 SSD USB-C Type-C 風扇 Asus 鍵盤 眼鏡 生髮 傳聞 男士 HomeKit TWS 降噪 拖板 Gaming Laptop 循環扇 Galaxy Wi-Fi Speaker MacBook i9 投影機 AirPlay WWDC iOS,,,@karenly,2022-12-29T15:31:00.955473Z,,HK,8899960,113000,0,128,0.0,"""Karenly :""","""I\u2019m the girl in TECH with you.""",,,UUBwfrMS785JyWDUBRhOQkjw
5,2024-10-26,UCS6NQEJvdQhkekKaDtCa8ag,退休了 像风一样自由,"🍁本是文科小女子, 年方21求學德國, 30出頭移居加拿大, 入錯行成為IT女漢子, 25年拼殺, 一日覺醒, 果断提前退休告別職場,  揮揮衣袖不帶走一片雲彩,  只為尋找詩和遠方 (写于: 2023-9-23, 退休第一天)","""退休了 像风一样自由"" 退休了像风一样自由 加拿大生活 纽约曼哈顿旅居 多伦多 纽约 纽约曼哈顿 纽约vlog 纽约旅游vlog 多伦多vlog 多伦多旅游 加勒比海旅游 回国",,,@freelikewind,2023-06-18T05:14:44.438293Z,,CA,3168122,18600,0,87,0.0,"""\u9000\u4f11\u4e86 \u50cf\u98ce\u4e00\u6837\u81ea\u7531""","""\ud83c\udf41\u672c\u662f\u6587\u79d1\u5c0f\u5973\u5b50, \u5e74\u65b921\u6c42\u5b78\u5fb7\u570b, 30\u51fa\u982d\u79fb\u5c45\u52a0\u62ff\u5927, \u5165\u932f\u884c\u6210\u70baIT\u5973\u6f22\u5b50, 25\u5e74\u62fc\u6bba, \u4e00\u65e5\u89ba\u9192, \u679c\u65ad\u63d0\u524d\u9000\u4f11\u544a\u5225\u8077\u5834,  \u63ee\u63ee\u8863\u8896\u4e0d\u5e36\u8d70\u4e00\u7247\u96f2\u5f69,  \u53ea\u70ba\u5c0b\u627e\u8a69\u548c\u9060\u65b9 (\u5199\u4e8e: 2023-9-23, \u9000\u4f11\u7b2c\u4e00\u5929)""",,,UUS6NQEJvdQhkekKaDtCa8ag
6,2024-10-26,UCDujHU0ghJw0WJt6hUTs5dg,олежка,"Привет.
Меня зовут Олег Антоненко.
Пою под псевдонимом 1501.
Снимаю под ником Singantol / Сингантол.
Пою, люблю сериалы, инфантильничаю.
Раньше снимал на канал АО.


","""антоненко олег"" ао ao ""antonenko oleg"" сингантол singantol олежка",,,@singantol,2020-05-31T21:21:42.270419Z,,RU,9926977,169000,0,133,,"""\u043e\u043b\u0435\u0436\u043a\u0430""","""\u041f\u0440\u0438\u0432\u0435\u0442.\n\u041c\u0435\u043d\u044f \u0437\u043e\u0432\u0443\u0442 \u041e\u043b\u0435\u0433 \u0410\u043d\u0442\u043e\u043d\u0435\u043d\u043a\u043e.\n\u041f\u043e\u044e \u043f\u043e\u0434 \u043f\u0441\u0435\u0432\u0434\u043e\u043d\u0438\u043c\u043e\u043c 1501.\n\u0421\u043d\u0438\u043c\u0430\u044e \u043f\u043e\u0434 \u043d\u0438\u043a\u043e\u043c Singantol / \u0421\u0438\u043d\u0433\u0430\u043d\u0442\u043e\u043b.\n\u041f\u043e\u044e, \u043b\u044e\u0431\u043b\u044e \u0441\u0435\u0440\u0438\u0430\u043b\u044b, \u0438\u043d\u0444\u0430\u043d\u0442\u0438\u043b\u044c\u043d\u0438\u0447\u0430\u044e.\n\u0420\u0430\u043d\u044c\u0448\u0435 \u0441\u043d\u0438\u043c\u0430\u043b \u043d\u0430 \u043a\u0430\u043d\u0430\u043b \u0410\u041e.\n\n\n""",,,UUDujHU0ghJw0WJt6hUTs5dg
7,2024-10-26,UCdiSxwLEdWZA-uu80bwTEVA,Walking in Hong Kong,WALKING one street / footpath / alley / park / promenade / trail / public transport at a time IN HONG KONG and beyond 🇭🇰🇵🇭🇮🇩🇲🇴🇯🇵🇹🇭,,,,@walkinginhongkong,2021-11-03T07:59:55.368931Z,,HK,1486105,8010,0,213,,"""Walking in Hong Kong""","""WALKING one street / footpath / alley / park / promenade / trail / public transport at a time IN HONG KONG and beyond \ud83c\udded\ud83c\uddf0\ud83c\uddf5\ud83c\udded\ud83c\uddee\ud83c\udde9\ud83c\uddf2\ud83c\uddf4\ud83c\uddef\ud83c\uddf5\ud83c\uddf9\ud83c\udded""",,,UUdiSxwLEdWZA-uu80bwTEVA
8,2024-10-26,UCkRSiNm9lM7SaboZQtosv5Q,我是Jerry,"大家好我係Jerry ！喺呢度分享香港地道美食。
我做嘅video主要是美食人物紀錄片。
餐廳有興趣合作不妨IG聯絡我，又或者email俾我。
Please subscribe to my channel if you like my videos.
Contact me: jmakitchen@163.com","""Chinese food"" ""chinese cooking"" ""cantonese cooking"" ""chinese language"" ""chinese cuisine"" ""hong kong food recipe"" JMAKitchen ""Jerry Cooking"" Jerry 香港美食 食譜 香港YouTuber 我係Jerry cantonese 粵語 廣東話 ""Food Documentary"" 香港美食紀錄片 餐廳紀錄片 我是Jerry ""Jerry Ma"" 美食介紹",,,@hkjerry,2019-12-09T17:47:39.714738Z,,HK,3498169,35500,0,173,0.0,"""\u6211\u662fJerry""","""\u5927\u5bb6\u597d\u6211\u4fc2Jerry \uff01\u55ba\u5462\u5ea6\u5206\u4eab\u9999\u6e2f\u5730\u9053\u7f8e\u98df\u3002\n\u6211\u505a\u5605video\u4e3b\u8981\u662f\u7f8e\u98df\u4eba\u7269\u7d00\u9304\u7247\u3002\n\u9910\u5ef3\u6709\u8208\u8da3\u5408\u4f5c\u4e0d\u59a8IG\u806f\u7d61\u6211\uff0c\u53c8\u6216\u8005email\u4ffe\u6211\u3002\nPlease subscribe to my channel if you like my videos.\nContact me: jmakitchen@163.com""",,,UUkRSiNm9lM7SaboZQtosv5Q
9,2024-10-26,UC2fcT64VbKVs_BkRqtccfVg,New Beauty 眼袋權威,,,,,@newbeauty5556,2021-02-11T06:09:18.480625Z,,,8218123,306,0,108,,"""New Beauty \u773c\u888b\u6b0a\u5a01""","""""",,,UU2fcT64VbKVs_BkRqtccfVg
